gemeente.naam,gemeente.afkorting,gemeente.provincie,gemeente.contact.telefoon,gemeente.contact.emailadres,gemeente.contact.internet,gemeente.aantalInwoners,gemeente.totaalZetels
Gemeente Westerveld,Westerveld,DR,(0521)349349,info@gemeentewesterveld.nl,http://www.gemeentewesterveld.nl,19090,17
Gemeente Waterland,Waterland,NH,(0299)658585,gemeente@waterland.nl,http://www.waterland.nl,17013,17
Gemeente Leek,Leek,GR,(0594)551515,info@leek.nl,http://www.leek.nl,19611,17
Gemeente Reusel-De Mierden,Reusel-De Mierden,NB,(0497)650650,gemeente@reuseldemierden.nl,http://www.reuseldemierden.nl,12428,15
Gemeente Ten Boer,Ten Boer,GR,(050)3028888,gemeente@tenboer.nl,http://www.tenboer.nl,7425,13
Gemeente Schinnen,Schinnen,LB,14046,info@schinnen.nl,http://www.schinnen.nl,12950,15
Gemeente Bunnik,Bunnik,UT,(030)6594848,info@bunnik.nl,http://www.bunnik.nl,14377,15
Gemeente Haaksbergen,Haaksbergen,OV,(053)5734567,gemeente@haaksbergen.nl,http://www.haaksbergen.nl,24490,19
Gemeente Wageningen,Wageningen,GLD,(0317)492911,gemeente@wageningen.nl,http://www.wageningen.nl,35680,25
Gemeente Hillegom,Hillegom,ZH,140252,info@hillegom.nl,http://www.hillegom.nl,20484,19
Gemeente Oldenzaal,Oldenzaal,OV,(0541)588111,info@oldenzaal.nl,http://www.oldenzaal.nl,32200,23
Gemeente Ede,Ede,GLD,140318,info@ede.nl,http://www.ede.nl,108884,39
Gemeente Woensdrecht,Woensdrecht,NB,140164,gemeente@woensdrecht.nl,http://www.woensdrecht.nl,21648,19
Gemeente Arnhem,Arnhem,GLD,09001809,gemeente@arnhem.nl,http://www.arnhem.nl,143596,39
Gemeente Hardenberg,Hardenberg,OV,140523,gemeente@hardenberg.nl,http://www.hardenberg.nl,59593,31
Gemeente Zederik,Zederik,ZH,(0183)356500,postbus1@zederik.nl,http://www.zederik.nl,13646,15
Gemeente Maastricht,Maastricht,LB,14043,post@maastricht.nl,http://www.gemeentemaastricht.nl,121000,39
Gemeente Leeuwarden,Leeuwarden,FR,14058,gemeente@leeuwarden.nl,http://www.leeuwarden.nl,92342,39
Gemeente Zaltbommel,Zaltbommel,GLD,140418,info@zaltbommel.nl,http://www.zaltbommel.nl,26953,21
Gemeente Harderwijk,Harderwijk,GLD,(0341)411911,gemeente@harderwijk.nl,http://www.harderwijk.nl,44422,27
Gemeente Landerd,Landerd,NB,(0486)458111,info@landerd.nl,http://www.landerd.nl,15224,15
Gemeente Veenendaal,Veenendaal,UT,(0318)538911,info@veenendaal.nl,http://www.veenendaal.nl,62049,32
Gemeente Utrechtse Heuvelrug,Utrechtse Heuvelrug,UT,(0343)565600,info@heuvelrug.nl,http://www.heuvelrug.nl,48300,29
Gemeente Gemert-Bakel,Gemert-Bakel,NB,(0492)378500,gemeente@gemert-bakel.nl,http://www.gemert-bakel.nl,29026,21
Gemeente Pijnacker-Nootdorp,Pijnacker-Nootdorp,ZH,14015,info@pijnacker-nootdorp.nl,http://www.pijnacker-nootdorp.nl,50892,29
Gemeente Marum,Marum,GR,(0594)641333,gemeente@marum.nl,http://www.marum.nl,10066,15
Gemeente Bladel,Bladel,NB,(0497)361636,info@bladel.nl,http://www.bladel.nl,19642,17
Gemeente Oldambt,Oldambt,GR,(0597)482000,info@gemeente-oldambt.nl,http://www.gemeente-oldambt.nl,38838,25
Gemeente Bernheze,Bernheze,NB,(0412)458888,gemeente@bernheze.org,http://www.bernheze.org,29655,21
Gemeente Goes,Goes,ZLD,(0113)249600,stadskantoor@goes.nl,http://www.goes.nl,36600,25
Gemeente Urk,Urk,FL,(0527)689868,Gemeente@urk.nl,http://www.urk.nl,19260,17
Gemeente Nijmegen,Nijmegen,GLD,14024,gemeente@nijmegen.nl,http://www.nijmegen.nl,161286,39
Gemeente Nederweert,Nederweert,LB,(0495)677111,info@nederweert.nl,http://www.nederweert.nl,16784,17
Gemeente Enkhuizen,Enkhuizen,NH,(0228)360100,stadhuis@enkhuizen.nl,http://www.enkhuizen.nl,18006,17
Gemeente Ouder-Amstel,Ouder-Amstel,NH,(020)4962121,gemeente@ouder-amstel.nl,http://www.ouder-amstel.nl,13232,15
Gemeente Dantumadiel,Dantumadiel,FR,14+0511,post@dantumadiel.eu,http://www.dantumadiel.eu,19322,17
Gemeente Neder-Betuwe,Neder-Betuwe,GLD,(0488)449900,info@nederbetuwe.nl,http://www.nederbetuwe.nl,22309,19
Gemeente Kampen,Kampen,OV,(038)3392999,info@kampen.nl,http://www.kampen.nl,50566,30
Gemeente Gennep,Gennep,LB,(0485)494141,gemeente@gennep.nl,http://www.gennep.nl,17367,17
Gemeente Zwolle,Zwolle,OV,14038,postbus@zwolle.nl,http://www.zwolle.nl,120004,39
Gemeente Hendrik-Ido-Ambacht,Hendrik-Ido-Ambacht,ZH,14078,gemeente@h-i-ambacht.nl,http://www.hendrik-ido-ambacht.nl,25763,21
Gemeente Weesp,Weesp,NH,(0294)491391,info@weesp.nl,http://www.weesp.nl,18018,17
Gemeente Bodegraven-Reeuwijk,Bodegraven-Reeuwijk,ZH,(0172)522522,info@bodegraven-reeuwijk.nl,http://www.bodegraven-reeuwijk.nl,32728,22
Gemeente Rijssen-Holten,Rijssen-Holten,OV,(0548)854854,gemeente@rijssen-holten.nl,http://www.rijssen-holten.nl,37570,25
Gemeente Tholen,Tholen,ZLD,(0166)668200,gemeente@tholen.nl,http://www.tholen.nl,25511,21
Gemeente Alphen aan den Rijn,Alphen aan den Rijn,ZH,140172,gemeente@alphenaandenrijn.nl,http://www.alphenaandenrijn.nl,106000,39
Gemeente Gulpen-Wittem,Gulpen-Wittem,LB,(043)8800600,info@gulpen-wittem.nl,http://www.gulpen-wittem.nl,14716,15
Gemeente Landgraaf,Landgraaf,LB,(045)5695222,gemeente@landgraaf.nl,http://www.landgraaf.nl,38086,25
Gemeente Ferwerderadiel,Ferwerderadiel,FR,(0518)418888,info@ferwerderadiel.nl,http://www.ferwerderadiel.nl,8839,13
Gemeente Giessenlanden,Giessenlanden,ZH,(0183)583838,gemeente@giessenlanden.nl,http://www.giessenlanden.nl,14429,15
Gemeente Kollumerland c.a.,Kollumerland c.a.,FR,(0511)458888,gemeente@kollumerland.nl,http://www.kollumerland.nl,13078,15
Gemeente Vaals,Vaals,LB,(043)3068568,info@vaals.nl,http://www.vaals.nl,9805,13
Gemeente Druten,Druten,GLD,140487,info@druten.nl,http://www.druten.nl,18185,17
Gemeente Olst-Wijhe,Olst-Wijhe,OV,140570,gemeente@olst-wijhe.nl,http://www.olst-wijhe.nl,17655,18
Gemeente Eindhoven,Eindhoven,NB,14040,gemeente@eindhoven.nl,http://www.eindhoven.nl,218433,45
Gemeente Grave,Grave,NB,(0486)477277,info@grave.nl,http://www.grave.nl,12783,15
Gemeente Sluis,Sluis,ZLD,(0117)457000,info@gemeentesluis.nl,http://www.gemeentesluis.nl,23934,19
Gemeente Oirschot,Oirschot,NB,(0499)583333,info@oirschot.nl,http://www.oirschot.nl,17861,17
Gemeente Ubbergen,Ubbergen,GLD,14024,gemeente@ubbergen.nl,http://www.ubbergen.nl,9402,13
Gemeente Hulst,Hulst,ZLD,(0114)389000,info@gemeentehulst.nl,http://www.gemeentehulst.nl,27531,21
Gemeente Westvoorne,Westvoorne,ZH,(0181)408000,gemeente@westvoorne.nl,http://www.westvoorne.nl,14128,15
Gemeente Noordwijkerhout,Noordwijkerhout,ZH,(0252)343737,gemeente@noordwijkerhout.nl,http://www.noordwijkerhout.nl,15559,17
Gemeente Breda,Breda,NB,14076,gemeentebreda@breda.nl,http://www.breda.nl,171039,39
Gemeente Stichtse Vecht,Stichtse Vecht,UT,(0346)254000,info@stichtsevecht.nl,http://www.stichtsevecht.nl,64000,33
Gemeente Steenbergen,Steenbergen,NB,140167,info@gemeente-steenbergen.nl,http://www.gemeente-steenbergen.nl,23357,19
Gemeente Oud-Beijerland,Oud-Beijerland,ZH,(0186)646566,info@oud-beijerland.nl,http://www.oud-beijerland.nl,23536,19
Gemeente Beek,Beek,LB,(046)4389222,info@gemeentebeek.nl,http://www.gemeentebeek.nl,16455,17
Gemeente Waalre,Waalre,NB,(040)2282500,gemeente@waalre.nl,http://www.waalre.nl,16521,17
Gemeente Doesburg,Doesburg,GLD,(0313)481313,info@doesburg.nl,http://www.doesburg.nl,11634,15
Gemeente Amersfoort,Amersfoort,UT,14033,info_gemeente@amersfoort.nl,http://www.amersfoort.nl,150000,39
Gemeente Dongen,Dongen,NB,(0162)383200,info@dongen.nl,http://www.dongen.nl,25475,17
Gemeente Lansingerland,Lansingerland,ZH,14010,info@lansingerland.nl,http://www.lansingerland.nl,55270,31
Gemeente Hengelo Ov.,Hengelo Ov.,OV,(074)2459876,gemeente@hengelo.nl,http://www.hengelo.nl,81921,37
Gemeente Albrandswaard,Albrandswaard,ZH,(010)5061111,info@albrandswaard.nl,http://www.albrandswaard.nl,25098,19
Gemeente Voorschoten,Voorschoten,ZH,(071)5600600,gemeente@voorschoten.nl,http://www.voorschoten.nl,24864,19
Gemeente Papendrecht,Papendrecht,ZH,14078,pbgemeentebestuur@papendrecht.nl,http://www.papendrecht.nl,31977,23
Gemeente Bloemendaal,Bloemendaal,NH,14023,gemeente@bloemendaal.nl,http://www.bloemendaal.nl,22028,19
Gemeente Castricum,Castricum,NH,(0251)661122,gemeentebestuur@castricum.nl,http://www.castricum.nl,34504,23
Gemeente Midden-Drenthe,Midden-Drenthe,DR,(0593)539222,gemeente@middendrenthe.nl,http://www.middendrenthe.nl,33605,24
Gemeente De Bilt,De Bilt,UT,(030)2289411,info@debilt.nl,http://www.debilt.nl,42016,27
Gemeente Huizen,Huizen,NH,14035,gemeente@huizen.nl,http://www.huizen.nl,41468,27
Gemeente Zeewolde,Zeewolde,FL,(036)5229400,info@zeewolde.nl,http://www.zeewolde.nl,21200,19
Gemeente West Maas en Waal,West Maas en Waal,GLD,140487,info@westmaasenwaal.nl,http://www.westmaasenwaal.nl,18320,17
Gemeente Achtkarspelen,Achtkarspelen,FR,140511,gemeente@achtkarspelen.nl,http://www.achtkarspelen.nl,28024,21
Gemeente Baarn,Baarn,UT,(035)5481611,gemeente@baarn.nl,http://www.baarn.nl,24277,19
Gemeente Boskoop,Boskoop,ZH,(0172)219500,Info@boskoop.nl,http://www.Boskoop.nl,15223,17
Gemeente Montfoort,Montfoort,UT,(0348)476400,info@montfoort.nl,Http://www.montfoort.nl,13474,15
Gemeente Bedum,Bedum,GR,(050)3018911,gemeente@bedum.nl,http://www.bedum.nl,10601,15
Gemeente Zundert,Zundert,NB,(076)5995600,gemeente@zundert.nl,http://www.zundert.nl,21144,19
Gemeente Valkenswaard,Valkenswaard,NB,(040)2083444,gemeente@valkenswaard.nl,http://www.valkenswaard.nl,30908,23
Gemeente Twenterand,Twenterand,OV,(0546)840840,info@twenterand.nl,http://www.twenterand.nl,33603,24
Gemeente Cranendonck,Cranendonck,NB,(0495)431222,info@cranendonck.nl,http://www.cranendonck.nl,20335,19
Gemeente Westland,Westland,ZH,140174,info@gemeentewestland.nl,http://www.gemeentewestland.nl,100000,37
Gemeente Geldrop-Mierlo,Geldrop-Mierlo,NB,14040,gemeente@geldrop-mierlo.nl,http://www.geldrop-mierlo.nl,38118,25
Gemeente Midden-Delfland,Midden-Delfland,ZH,(015)3804111,gemeente@middendelfland.nl,http://www.middendelfland.nl,18251,17
Gemeente Aalten,Aalten,GLD,(0543)493333,gemeente@aalten.nl,http://www.aalten.nl,27570,21
Gemeente Zevenaar,Zevenaar,GLD,(0316)595111,gemeente@zevenaar.nl,http://www.zevenaar.nl,32441,24
Gemeente Deventer,Deventer,OV,140570,gemeente@deventer.nl,http://www.deventer.nl,98000,37
Gemeente Montferland,Montferland,GLD,(0316)291391,Gemeente@montferland.info,http://www.montferland.info,34984,25
Gemeente Berkelland,Berkelland,GLD,(0545)250250,info@gemeenteberkelland.nl,http://www.gemeenteberkelland.nl,44780,29
Gemeente Doetinchem,Doetinchem,GLD,(0314)377377,gemeente@doetinchem.nl,http://www.doetinchem.nl,56409,31
Gemeente Oude IJsselstreek,Oude IJsselstreek,GLD,(0315)292292,info@oude-ijsselstreek.nl,http://www.oude-ijsselstreek.nl,39856,27
Gemeente Lochem,Lochem,GLD,(0573)289222,info@lochem.nl,http://www.lochem.nl,33263,23
Gemeente Oost Gelre,Oost Gelre,GLD,(0544)393535,gemeente@oostgelre.nl,http://www.oostgelre.nl,29873,23
Gemeente Bronckhorst,Bronckhorst,GLD,(0575)750250,info@bronckhorst.nl,http://www.bronckhorst.nl,37669,25
Gemeente Zutphen,Zutphen,GLD,140575,info@zutphen.nl,http://www.zutphen.nl,47279,29
Deelgemeente IJsselmonde,IJsselmonde,ZH,(010)4798200,deelgemeente@ijsselmonde.rotterdam.nl,http://www.ijsselmonde.rotterdam.nl,58646,25
Deelgemeente Noord,Noord,ZH,(010)4439999,deelgemeente@noord.rotterdam.nl,http://www.noord.rotterdam.nl,49575,19
Gemeente Langedijk,Langedijk,NH,(0226)334433,info@gemeentelangedijk.nl,http://www.gemeentelangedijk.nl/,26858,21
Gemeente Appingedam,Appingedam,GR,(0596)691100,info@appingedam.nl,http://www.appingedam.nl,12187,15
Gemeente Elburg,Elburg,GLD,(0525)688688,gemeente@elburg.nl,http://www.elburg.nl,22114,19
Deelgemeente Hillegersberg-Schiebroek,Hillegersberg-Schiebroek,ZH,(010)4615561,info@his.rotterdam.nl,http://www.rotterdam.nl/his,40689,19
Gemeente Hoogezand-Sappemeer,Hoogezand-Sappemeer,GR,(0598)373737,gemeente@hoogezand-sappemeer.nl,http://www.hoogezand-sappemeer.nl,34616,23
Gemeente Pekela,Pekela,GR,(0597)617555,info@pekela.nl,http://www.pekela.nl,13257,15
Gemeente Menterwolde,Menterwolde,GR,(0598)658888,Info@menterwolde.nl,http://www.menterwolde.nl,12358,15
Gemeente De Marne,De Marne,GR,(0595)575500,gemeente@demarne.nl,http://www.demarne.nl,10331,15
Gemeente Winsum,Winsum,GR,(0595)447777,Gemeente@winsum.nl,http://www.winsum.nl,14086,15
Gemeente Zuidhorn,Zuidhorn,GR,(0594)508888,gemeente@zuidhorn.nl,http://www.zuidhorn.nl,18676,17
Gemeente Harlingen,Harlingen,FR,(0517)492222,gemeentebestuur@harlingen.nl,http://www.harlingen.nl,15465,17
Gemeente Uden,Uden,NB,(0413)281911,postbus83@uden.nl,http://www.uden.nl,40595,27
Gemeente Vught,Vught,NB,(073)6580680,gemeente@vught.nl,http://www.vught.nl,25239,21
Gemeente Apeldoorn,Apeldoorn,GLD,14055,gemeente@apeldoorn.nl,http://www.apeldoorn.nl,157306,39
Gemeente Hoogeveen,Hoogeveen,DR,140528,info@hoogeveen.nl,http://www.hoogeveen.nl,54791,31
Gemeente Lingewaard,Lingewaard,GLD,(026)3260111,gemeente@lingewaard.nl,http://www.lingewaard.nl,45787,29
Gemeente Putten,Putten,GLD,(0341)359611,info@putten.nl,http://www.putten.nl,23875,19
Gemeente Oss,Oss,NB,(0412)629911,Gemeente@oss.nl,http://www.oss.nl,84843,37
Gemeente Geertruidenberg,Geertruidenberg,NB,(0162)579579,info@geertruidenberg.nl,http://www.geertruidenberg.nl,20789,19
Gemeente Rheden,Rheden,GLD,(026)4976911,gemeente@rheden.nl,http://www.rheden.nl,43950,27
Gemeente Scherpenzeel,Scherpenzeel,GLD,(033)2772324,info@scherpenzeel.nl,http://www.scherpenzeel.nl,9403,13
Gemeente Nunspeet,Nunspeet,GLD,(0341)259911,gemeente@nunspeet.nl,http://www.nunspeet.nl,26583,21
Gemeente Utrecht,Utrecht,UT,(030)2860000,Gemeente@utrecht.nl,http://www.utrecht.nl,311405,45
Gemeente Tilburg,Tilburg,NB,14013,gemeente@tilburg.nl,http://www.tilburg.nl,204863,44
Gemeente Houten,Houten,UT,(030)6392611,gemeentehuis@houten.nl,http://www.houten.nl,48428,28
Gemeente Soest,Soest,UT,(035)6093411,Postbus2000@soest.nl,http://www.soest.nl,45613,29
Gemeente IJsselstein,IJsselstein,UT,14030,info@ijsselstein.nl,http://www.ijsselstein.nl,34287,23
Gemeente Aalsmeer,Aalsmeer,NH,(0297)387575,info@aalsmeer.nl,http://www.aalsmeer.nl,25020,21
Deelgemeente Rozenburg,Rozenburg,ZH,(0181)488800,inforozenburg@rotterdam.nl,http://www.rotterdam.nl/rozenburg,12680,12
Gemeente Vianen,Vianen,UT,(0347)369911,gemeente@vianen.nl,http://www.vianen.nl,19621,17
Gemeente Leidschendam-Voorburg,Leidschendam-Voorburg,ZH,14070,info@leidschendam-voorburg.nl,http://www.leidschendam-voorburg.nl,72824,35
Deelgemeente Delfshaven,Delfshaven,ZH,(010)4250425,info@delfshaven.rotterdam.nl,http://www.delfshaven.rotterdam.nl,69448,25
Gemeente Alkmaar,Alkmaar,NH,14072,post@alkmaar.nl,http://www.alkmaar.nl,93864,36
Gemeente Haarlem,Haarlem,NH,(023)5113000,antwoord@haarlem.nl,http://www.haarlem.nl,150695,39
Gemeente Purmerend,Purmerend,NH,(0299)452452,info@purmerend.nl,http://www.purmerend.nl,78430,35
Gemeente Velsen,Velsen,NH,(0255)567200,info@velsen.nl,http://www.velsen.nl,67355,33
Gemeente Schermer,Schermer,NH,(072)5037320,gemeente@schermer.nl,http://www.schermer.nl,5501,11
Gemeente Oegstgeest,Oegstgeest,ZH,(071)5191793,info@oegstgeest.nl,http://www.oegstgeest.nl,22367,19
Gemeente Rotterdam,Rotterdam,ZH,14010,post@bsd.rotterdam.nl,http://www.rotterdam.nl,611250,45
Gemeente Oostzaan,Oostzaan,NH,(075)6512100,antwoord@oostzaan.nl,http://www.oostzaan.nl,9205,13
Gemeente Delft,Delft,ZH,14015,,http://www.delft.nl,98673,37
Gemeente Woerden,Woerden,UT,140348,stadhuis@woerden.nl,http://www.woerden.nl,50000,29
Gemeente Leiderdorp,Leiderdorp,ZH,(071)5458500,info@leiderdorp.nl,http://www.leiderdorp.nl,26077,21
Gemeente Zoeterwoude,Zoeterwoude,ZH,(071)5806300,gemeente@zoeterwoude.nl,http://www.zoeterwoude.nl,8075,13
Gemeente Zwijndrecht,Zwijndrecht,ZH,14078,gemeente@zwijndrecht.nl,http://www.zwijndrecht.nl,44400,27
Gemeente Heeze-Leende,Heeze-Leende,NB,(040)2241400,postbus@heeze-leende.nl,http://www.heeze-leende.nl,15235,17
Gemeente Roosendaal,Roosendaal,NB,(0165)579111,info@roosendaal.nl,http://www.roosendaal.nl,77169,36
Gemeente Sint-Michielsgestel,Sint-Michielsgestel,NB,(073)5531111,gemeente@sint-michielsgestel.nl,http://www.sint-michielsgestel.nl,28122,21
Gemeente Maasgouw,Maasgouw,LB,(0475)852500,info@gemeentemaasgouw.nl,http://www.gemeentemaasgouw.nl,24019,19
Gemeente Eijsden-Margraten,Eijsden-Margraten,LB,(043)4588488,info@eijsden-margraten.nl,http://www.eijsden-margraten.nl,25011,19
Gemeente Venray,Venray,LB,(0478)523333,gemeente@venray.nl,http://www.venray.nl,39069,27
Gemeente Valkenburg aan de Geul,Valkenburg aan de Geul,LB,14043,info@valkenburg.nl,http://www.valkenburg.nl,16652,17
Deelgemeente Kralingen - Crooswijk,Kralingen - Crooswijk,ZH,(010)2060808,deelgemeente@kc.rotterdam.nl,http://www.kc.rotterdam.nl,50358,19
Deelgemeente Prins Alexander,Prins Alexander,ZH,(010)2868200,info@prinsalexander.rotterdam.nl,http://www.prinsalexander.rotterdam.nl,87948,25
Stadsdeel Noord,Noord,NH,(020)6349911,post@noord.amsterdam.nl,http://www.noord.amsterdam.nl,87307,19
Stadsdeel Zuidoost,Zuidoost,NH,(020)2525000,info@zuidoost.amsterdam.nl,http://www.zuidoost.amsterdam.nl,78776,28
Stadsdeel West,West,NH,14020,info@west.amsterdam.nl,http://www.west.amsterdam.nl,130000,29
Stadsdeel Oost,Oost,NH,14020,info@oost.amsterdam.nl,http://www.oost.amsterdam.nl,116615,41
Stadsdeel Zuid,Zuid,NH,14020,stadsdeel@zuid.amsterdam.nl,http://www.zuid.amsterdam.nl,132000,19
Stadsdeel Nieuw-West,Nieuw-West,NH,14020,info@nieuwwest.amsterdam.nl,http://www.nieuwwest.amsterdam.nl,135000,40
Gemeente Wassenaar,Wassenaar,ZH,(070)5122222,gemeente@wassenaar.nl,http://www.wassenaar.nl,25552,20
Deelgemeente Overschie,Overschie,ZH,(010)2082222,deelgemeente@overschie.nl,http://www.overschie.nl,15769,0
Deelgemeente Hoogvliet,Hoogvliet,ZH,14010,,http://www.hoogvliet.nl,34720,19
Gemeente Noord-Beveland,Noord-Beveland,ZLD,(0113)377377,info@noord-beveland.nl,http://www.noord-beveland.nl,7522,12
Gemeente Buren,Buren,GLD,140344,gemeente@buren.nl,http://www.buren.nl,26000,21
Gemeente Kerkrade,Kerkrade,LB,14045,gemeentehuis@kerkrade.nl,http://www.kerkrade.nl,47684,29
Gemeente Heerhugowaard,Heerhugowaard,NH,14072,post@heerhugowaard.nl,http://www.heerhugowaard.nl,50475,31
Gemeente 's-Hertogenbosch,'s-Hertogenbosch,NB,(073)6155155,gemeente@s-hertogenbosch.nl,http://www.s-hertogenbosch.nl,135648,39
Gemeente Dordrecht,Dordrecht,ZH,14078,,http://www.dordrecht.nl,118448,39
Gemeente Geldermalsen,Geldermalsen,GLD,(0345)586611,info@geldermalsen.nl,http://www.geldermalsen.nl,26224,21
Deelgemeente Hoek van Holland,Hoek van Holland,ZH,(0174)315151,dghvh@rotterdam.nl,http://www.rotterdam.nl/hoekvanholland,9962,12
Gemeente Uithoorn,Uithoorn,NH,(0297)513111,gemeente@uithoorn.nl,http://www.uithoorn.nl,28396,21
Gemeente Ridderkerk,Ridderkerk,ZH,(0180)451234,info@ridderkerk.nl,http://www.ridderkerk.nl,45297,27
Gemeente Sint-Oedenrode,Sint-Oedenrode,NB,(0413)481911,info@sint-oedenrode.nl,http://www.sint-oedenrode.nl,17910,17
Gemeente Nederlek,Nederlek,ZH,(0180)667777,info@nederlek.nl,http://www.nederlek.nl,14130,15
Gemeente Maasdriel,Maasdriel,GLD,140418,info@maasdriel.nl,http://www.maasdriel.nl,24064,19
Gemeente Brummen,Brummen,GLD,(0575)568233,gemeente@brummen.nl,http://www.brummen.nl,21187,19
Gemeente Weert,Weert,LB,(0495)575000,gemeente@weert.nl,http://www.weert.nl,48676,29
Deelgemeente Charlois,Charlois,ZH,(010)4107410,info@charlois.rotterdam.nl,http://www.charlois.rotterdam.nl,62292,25
Gemeente Bergen NH,Bergen NH,NH,(072)8880000,info@bergen-nh.nl,http://www.bergen-nh.nl,30333,23
Gemeente Meppel,Meppel,DR,(0522)850500,info@meppel.nl,http://www.meppel.nl,32000,23
Gemeente Kaag en Braassem,Kaag en Braassem,ZH,(071)3327272,info@kaagenbraassem.nl,http://www.kaagenbraassem.nl,25762,21
Deelgemeente Rotterdam Centrum,Rotterdam Centrum,ZH,(010)2672259,info@centrum.rotterdam.nl,http://www.rotterdam.nl/deelgemeentecentrum,0,13
Bonaire,,,+ 599 717 8333,info@RijksdienstCN.com,http://www.rijksdienstcn.com/bonaire/bonaire?swords=bonaire,15414,9
Saba,,,+599 416 3934,info@RijksdienstCN.com,http://www.rijksdienstcn.com/saba/saba?swords=saba,2000,5
Sint Eustatius,,,+599 318 3370,info@rijksdienstencn.com,http://www.rijksdienstcn.com/,2886,5
Bestuursdienst Ommen-Hardenberg,Bestuursdienst Ommen-Hardenberg,"","",,"",0,0
